,precision,recall,f1-score,support
Anthracnose,1.0,1.0,1.0,75.0
Bacterial Canker,1.0,1.0,1.0,75.0
Cutting Weevil,1.0,1.0,1.0,75.0
Die Back,1.0,1.0,1.0,75.0
Gall Midge,1.0,0.9733333333333334,0.9864864864864865,75.0
Healthy,0.974025974025974,1.0,0.9868421052631579,75.0
Powdery Mildew,0.9866666666666667,0.9866666666666667,0.9866666666666667,75.0
Sooty Mould,0.9866666666666667,0.9866666666666667,0.9866666666666667,75.0
accuracy,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333
macro avg,0.9934199134199134,0.9933333333333334,0.9933327406353722,600.0
weighted avg,0.9934199134199135,0.9933333333333333,0.9933327406353722,600.0
