filepath,label
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161249 (Custom).jpg,Gall Midge
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_123716 (Custom).jpg,Healthy
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_183316 (Custom).jpg,Die Back
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_170708 (Custom).jpg,Anthracnose
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161554 (Custom).jpg,Healthy
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161832 (Custom) (Custom).jpg,Cutting Weevil
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123239 (Custom).jpg,Sooty Mould
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164133 (Custom).jpg,Gall Midge
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_130215 (Custom).jpg,Powdery Mildew
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154230 (Custom).jpg,Sooty Mould
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161605 (Custom).jpg,Cutting Weevil
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_121133 (Custom).jpg,Bacterial Canker
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163950 (Custom).jpg,Gall Midge
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_130229 (Custom).jpg,Healthy
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161715(0) (Custom) (Custom).jpg,Cutting Weevil
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154035 (Custom).jpg,Sooty Mould
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124959 (Custom).jpg,Powdery Mildew
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161908 (Custom) (Custom).jpg,Cutting Weevil
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123509 (Custom).jpg,Sooty Mould
