filepath,label,clean_stem,ahash,dhash,group_id
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_143716 (Custom).jpg,Powdery Mildew,IMG_20211107_143716,0111111100011111000011111000011111000011111000011111000011111100,1111111111111111001111110011111100011111100011111110000110110000,Powdery Mildew__g0487
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_121111 (Custom).jpg,Bacterial Canker,IMG_20211106_121111,1111111011111110110011101100011011100010111000101111001011111010,0000000000100000000110000000110000001110000001100000011000000010,Bacterial Canker__g0027
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_143311 (Custom).jpg,Sooty Mould,IMG_20211212_143311,1110000111000011110001111000011110001111100011111001111111111111,0000011100001110000011110001110100011011001110010011000001101000,Sooty Mould__g0423
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_162350 (Custom).jpg,Healthy,20211231_162350,1111111111111111111111111100000000000000000000001111100011111111,0000000000000000000000000000011100100001000010010000000100100000,Healthy__g0484
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_134012 (Custom).jpg,Anthracnose,20211011_134012,1111111111101111111001111110011111100100111001001100000011000000,0001000000001000100010001100110011001100100011000000110000011000,Anthracnose__g0069
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_140342 (Custom).jpg,Anthracnose,IMG_20211011_140342,1111111111111111111111101110000011100000111010001110000011100000,1000000011100000110010001100111011001110110110001001100000000000,Anthracnose__g0185
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125339 (Custom).jpg,Powdery Mildew,IMG_20211107_125339,1110000011100000110000001100000011000000110000011110000111110111,1000010000000110000001100001111000001100000011011000111111101110,Powdery Mildew__g0405
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154830 (Custom).jpg,Sooty Mould,IMG_20211211_154830,1111111111111111000000000000000000000011111111110011111100111111,1111111110010011001111110111111100110111111111111111111111111111,Sooty Mould__g0335
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161520 (Custom) (Custom).jpg,Cutting Weevil,20211011_161520,1111110011111000100111001000000011111000111100001111000011111100,0000000000000001001010010011110111000001000001010000010000000000,Cutting Weevil__g0068
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/IMG_20211011_140224 (Custom) (Custom).jpg,Cutting Weevil,IMG_20211011_140224,1111111111110011111000111110001111000001111010011110000011000110,1111010011100111110010111000111110011111000000110000110100001100,Cutting Weevil__g0240
