,precision,recall,f1-score,support
Anthracnose,1.0,1.0,1.0,75.0
Bacterial Canker,1.0,1.0,1.0,75.0
Cutting Weevil,1.0,1.0,1.0,74.0
Die Back,1.0,1.0,1.0,75.0
Gall Midge,1.0,0.9866666666666667,0.9932885906040269,75.0
Healthy,1.0,1.0,1.0,75.0
Powdery Mildew,0.9866666666666667,0.9866666666666667,0.9866666666666667,75.0
Sooty Mould,0.9736842105263158,0.9866666666666667,0.9801324503311258,75.0
accuracy,0.994991652754591,0.994991652754591,0.994991652754591,0.994991652754591
macro avg,0.9950438596491228,0.995,0.9950109634502274,599.0
weighted avg,0.9950355856251649,0.994991652754591,0.9950026345077404,599.0
