,precision,recall,f1-score,support
Anthracnose,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
Bacterial Canker,1.0,1.0,1.0,75.0
Cutting Weevil,1.0,1.0,1.0,74.0
Die Back,1.0,1.0,1.0,75.0
Gall Midge,0.9615384615384616,1.0,0.9803921568627451,75.0
Healthy,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
Powdery Mildew,0.9859154929577465,0.9333333333333333,0.958904109589041,75.0
Sooty Mould,0.9487179487179487,0.9866666666666667,0.9673202614379085,75.0
accuracy,0.9833055091819699,0.9833055091819699,0.9833055091819699,0.9833055091819699
macro avg,0.9836431095233913,0.9833333333333334,0.9832935089392321,599.0
weighted avg,0.9836158025276037,0.9833055091819699,0.9832656183030705,599.0
