filepath,label,group_id,clean_stem,ahash,dhash
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_161522 (Custom).jpg,Die Back,Die Back__g0093,20211129_161522,1111111111111111110011111100110011100100111000001111000011110000,0000000000100000000110000001100000001000000011000000011100000011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161657(0) (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0096,20211011_161657(0),1111110011111100111110001111100011100000011000000111100001111000,0010000001000000110000001001011010010011100001101110001011000001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_115456 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0179,IMG_20211107_115456,1111111111111111111100011000000000000000110000011111111111111111,0000000000010000100000110001000100110111000011110000010000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163744 (Custom).jpg,Die Back,Die Back__g0281,20211129_163744,1111111011111110110011001110110011100000111100001111000011110000,0000000000010000000110000001100000001100000001110000000100000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160633 (Custom).jpg,Healthy,Healthy__g0311,20211231_160633,1111111111111111000001110000000000000000000000001111111011111110,0000000001110000011111100100101101001000000011110000010000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164413 (Custom).jpg,Gall Midge,Gall Midge__g0354,IMG_20211106_164413,1111110011100001000000010000001111011111111111111111111111111111,0000000100000011000011111011111110110000000000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_003845 (Custom).jpg,Die Back,Die Back__g0488,IMG_20211028_003845,1111111111111111111001111111011111110011111100110100000000000000,1110000011110000110011001110110011100110110001101000110111000011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_162802 (Custom).jpg,Gall Midge,Gall Midge__g0167,IMG_20211106_162802,0000000000000000100000111111111111111111111111111111111111111111,0000000000000111001011111001111100011111000111110000111100000111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_123623 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0268,IMG_20211107_123623,1111111110111111100011111000111101000111011000110011000100111111,1111110101101101001111110001100110001101110001101110001111111011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162241 (Custom).jpg,Die Back,Die Back__g0180,20211129_162241,1111111011111110111111101111100000000000100000001111100011110000,0000000000000000000000000000000001100011001001000000000000000000
